"Product Name","Excerpt","Type","Price","Sale Price","Category","Featured Image","Featured Image Thumbnail","Featured Image (Embed)","Featured Image Title","Featured Image Caption","Featured Image Alternative Text","Featured Image Description","Product Gallery","Product Gallery Title","Product Gallery Thumbnail","Product Gallery Caption","Product Gallery (Embed)","Product Gallery Alt","Product Gallery Description","WordPress SEO - Focus Keyword","Attribute: Color","Attribute: Types","WordPress SEO - Meta Description","WordPress SEO - SEO Title"
"مرطب الشفايف كارمكس بالكرز CARMEX CHERRY","<strong>مرطب الشفايف كارمكس بالكرز CARMEX CHERRY :</strong>
<ul>
 	<li>مرطب الشفاة العصار  الكلاسيكي من كارمكس سهل الاستخدام .</li>
 	<li>مهديئ للشفاة ومرطب فعال للشفاة الجافة .</li>
 	<li>حامي من عوامل الاكسدة وعوامل الجو وما يشوبها من بكتيريا واوساخ .</li>
 	<li>بنكهة الكرز .</li>
</ul>
&nbsp;","Simple Product","28.75","","العناية|العناية>العناية بالشفاه|العناية>العناية بالشفاه>كارمكس","https://meralll.com/wp-content/uploads/2021/04/y60eHySiaNYEioSNq9NdiCzzpzLgLHETzLp19Bny.jpg","https://meralll.com/wp-content/uploads/2021/04/y60eHySiaNYEioSNq9NdiCzzpzLgLHETzLp19Bny-150x150.jpg","","y60eHySiaNYEioSNq9NdiCzzpzLgLHETzLp19Bny","","","","https://meralll.com/wp-content/uploads/2021/04/KGnWPAbym6ReO0CAjMlBaWf1ZRnyPSXgnpGbBtmZ.jpg","","https://meralll.com/wp-content/uploads/2021/04/KGnWPAbym6ReO0CAjMlBaWf1ZRnyPSXgnpGbBtmZ-150x150.jpg","","","","","","","","مرطب الشفاة العصار الكلاسيكي من كارمكس سهل الاستخدام .مهديئ للشفاة ومرطب فعال للشفاة الجافة .حامي من عوامل الاكسدة وعوامل الجو وما يشوبها .","مرطب الشفايف كارمكس CARMEX CHERRY بطعم الكرز للشفاة الجافة ."
"اضاءة الجسم والسيقان ار سي كي RCK red UNIVERSAL 150ML","<strong>اضاءة الجسم والسيقان ار سي كي RCK red UNIVERSAL 150ML :</strong>
<ul>
 	<li>ار سي كي كريم اساس الاكثر تميزا و مبيعا لمزاياه الكثيرة .</li>
 	<li>تغطية خفيفة طبيعية .</li>
 	<li>درجات البرونز الاكثر طلبا لاضائتها المميزة وثباتها العالي لفترة طويلة .</li>
 	<li>لا يطبع او يلصق على الملابس بعد ان ينشف .</li>
</ul>","Simple Product","172.50","","المكياج|المكياج>ار سي كي|المكياج>الجسم","https://meralll.com/wp-content/uploads/2021/04/AAXXGrLG9x8acn1gncox1B2idWbJiwlfGQb5i8ay.jpg","https://meralll.com/wp-content/uploads/2021/04/AAXXGrLG9x8acn1gncox1B2idWbJiwlfGQb5i8ay-150x150.jpg","","AAXXGrLG9x8acn1gncox1B2idWbJiwlfGQb5i8ay","","","","https://meralll.com/wp-content/uploads/2021/04/AfeUEDIts3cVwosPodMO6n2pI1Ko4fqhgcg0hfFI.jpg|https://meralll.com/wp-content/uploads/2021/04/8nVxjsz5CYmfy0IW6ABQ5jv2H1aQ8X0iN6OsQiV4.jpg","","https://meralll.com/wp-content/uploads/2021/04/AfeUEDIts3cVwosPodMO6n2pI1Ko4fqhgcg0hfFI-150x150.jpg|https://meralll.com/wp-content/uploads/2021/04/8nVxjsz5CYmfy0IW6ABQ5jv2H1aQ8X0iN6OsQiV4-150x150.jpg","","","","","","","","اضاءة الجسم والسيقان ار سي كي RCK red UNIVERSAL 150ML :ار سي كي كريم اساس الاكثر تميزا و مبيعا لمزاياه الكثيرة .تغطية خفيفة طبيعية .","اضاءة الجسم والسيقان ار سي كي RCK red UNIVERSAL 150ML"
"ايكو كوكو سيلف تان ميديم برونز - 250 مل","<strong>ايكو كوكو سيلف تان ميديم برونز - 250 مل :</strong>
<ul>
 	<li class=""ql-direction-rtl"">يتميز سيلف تان ميديم برونز بتركيبة متطورة تساعدك في الحصول على لون مسمر داكن، غني بزيت جوز الهند العضوي الذي يعمل على ترطيب البشرة بينما يمنحها اللون البرونزي المتألق، كما أنه خالي من الكاكاو للمسة نهائية مثالية بدون عيوب.</li>
 	<li class=""ql-direction-rtl""><strong>المزايا:</strong></li>
 	<li class=""ql-direction-rtl""> ينفرد بتركيبة تقوم بترطيب فائق للبشرة وتمنع تهيجها بفضل احتوائها على الألوة فيرا الذي يحتوي على مضادات أكسدة وفيتامينات أ، ج.</li>
 	<li class=""ql-direction-rtl"">يُرطب البشرة ويتركها بملمس ناعم وحريري بفضل خلاصة زيت جوز الهند العضوي.</li>
 	<li class=""ql-direction-rtl"">يلطف البشرة المرهقة بفضل خلاصة تفاحة الكانغارو الغنية بمضادات الأكسدة.</li>
 	<li class=""ql-direction-rtl"">يتميز بخصائص علاجية قوية لتعزيز صحة جلد البشر وخلاصة زيت الارغان.</li>
</ul>
<p class=""ql-direction-rtl""><strong>الاستعمال:</strong></p>

<ul>
 	<li class=""ql-direction-rtl"">يوضع منه كمية صغيرة على قفاز التسمير الخاص بك.</li>
 	<li class=""ql-direction-rtl"">يطبق بحركات دائرية ثابتة ليتم توزيعه بشكل متساوي.</li>
 	<li class=""ql-direction-rtl"">سوف يتم الحصول على لون التان خلال ساعتين.</li>
 	<li class=""ql-direction-rtl"">للحصول على درجة داكنة، يُترك حتى 8 ساعات.</li>
</ul>","Simple Product","163.30","","العناية|العناية>العناية بالجسم|المكياج|المكياج>ايكوكوكو","https://meralll.com/wp-content/uploads/2021/04/Nrtfgx3SL3AfcL0J2iaOm3ogaLTnoNasoZ1cjIYY.jpg","https://meralll.com/wp-content/uploads/2021/04/Nrtfgx3SL3AfcL0J2iaOm3ogaLTnoNasoZ1cjIYY-150x150.jpg","","Nrtfgx3SL3AfcL0J2iaOm3ogaLTnoNasoZ1cjIYY","","","","","","","","","","","","","","يتميز سيلف تان ميديم برونز بتركيبة متطورة تساعدك في الحصول على لون مسمر داكن،غني بزيت جوز الهند العضوي الذي يعمل على ترطيب البشرة .","%%title%% %%page%% %%sep%% %%sitename%% يتميز سيلف تان ميديم برونز"
"ايكو كوكو سيلف تان دارك برونز - 250 مل","<p class=""ql-direction-rtl"">يتميز سيلف تان دارك برونز بتركيبة متطورة تساعدك في الحصول على لون مسمر داكن، غني بزيت جوز الهند العضوي الذي يعمل على ترطيب البشرة بينما يمنحها اللون البرونزي المتألق، كما أنه خالي من الكاكاو للمسة نهائية مثالية بدون عيوب.</p>
<p class=""ql-direction-rtl"">المزايا:</p>
<p class=""ql-direction-rtl"">- ينفرد بتركيبة تقوم بترطيب فائق للبشرة وتمنع تهيجها بفضل احتوائها على الألوة فيرا الذي يحتوي على مضادات أكسدة وفيتامينات أ، ج.</p>
<p class=""ql-direction-rtl"">- يُرطب البشرة ويتركها بملمس ناعم وحريري بفضل خلاصة زيت جوز الهند العضوي.</p>
<p class=""ql-direction-rtl"">- يلطف البشرة المرهقة بفضل خلاصة تفاحة الكانغارو الغنية بمضادات الأكسدة.</p>
<p class=""ql-direction-rtl"">- يتميز بخصائص علاجية قوية لتعزيز صحة جلد البشر وخلاصة زيت الارغان.</p>
<p class=""ql-direction-rtl"">الاستعمال:</p>
<p class=""ql-direction-rtl"">- يوضع منه كمية صغيرة على قفاز التسمير الخاص بك.</p>
<p class=""ql-direction-rtl"">- يطبق بحركات دائرية ثابتة ليتم توزيعه بشكل متساوي.</p>
<p class=""ql-direction-rtl"">- سوف يتم الحصول على لون التان خلال ساعتين.</p>
<p class=""ql-direction-rtl"">- للحصول على درجة داكنة، يُترك حتى 8 ساعات.</p>
<p class=""ql-direction-rtl"">- يُترك ليجف قبل ارتداء الثياب.</p>","Simple Product","163.30","","العناية|العناية>العناية بالجسم|المكياج>ايكوكوكو","https://meralll.com/wp-content/uploads/2021/04/LtCJ4J3ePcJkGT798ikAUXzcUASZaCL77ozK9q76.jpg","https://meralll.com/wp-content/uploads/2021/04/LtCJ4J3ePcJkGT798ikAUXzcUASZaCL77ozK9q76-150x150.jpg","","LtCJ4J3ePcJkGT798ikAUXzcUASZaCL77ozK9q76","","","","https://meralll.com/wp-content/uploads/2021/04/hWsJ3oGZlPJUMMRwYzt9vQwZIrmstEOj0WAEc1Mi.jpg","","https://meralll.com/wp-content/uploads/2021/04/hWsJ3oGZlPJUMMRwYzt9vQwZIrmstEOj0WAEc1Mi-150x150.jpg","","","","","","","","يتميز سيلف تان دارك برونز بتركيبة متطورة تساعدك في الحصول على لون مسمر داكن، غني بزيت جوز الهند العضوي الذي يعمل على ترطيب البشرة .","%%title%% %%page%% %%sep%% %%sitename%% ايكو كوكو سيلف تان دارك برونز - 250 مل"
"اسفنجة مشطوفه بني كارا بيوتي KARA BEAUTY","<strong>اسفنجة مشطوفه بني كارا بيوتي KARA BEAUTY :</strong>
<ul>
 	<li>الاسفنجة المميزة من كارا بيوتي المشطوفة .</li>
 	<li>لتسهل عملية الوصول للاماكن الصعبة والدقيقة .</li>
 	<li>تستخدم عدة مرات .</li>
</ul>","Simple Product","23.00","","المكياج>الادوات وفرش التجميل|المكياج>كارا","https://meralll.com/wp-content/uploads/2021/04/cfQeoXbPBxTWLeYEgRKbOFC5AqFWddQOnGQpufT1.jpg","https://meralll.com/wp-content/uploads/2021/04/cfQeoXbPBxTWLeYEgRKbOFC5AqFWddQOnGQpufT1-150x150.jpg","","cfQeoXbPBxTWLeYEgRKbOFC5AqFWddQOnGQpufT1","","","","","","","","","","","","","","اسفنجة مشطوفه بني كارا بيوتي KARA BEAUTY :الاسفنجة المميزة من كارا بيوتي المشطوفة .لتسهل عملية الوصول للاماكن الصعبة والدقيقة .","%%title%% %%page%% %%sep%% %%sitename%% اسفنجة مشطوفه بني كارا بيوتي"
"اوفرا – طقم اوفرا خماسي + روج وقلوص luxe holiday set‏","<strong>اوفرا – طقم اوفرا خماسي + روج وقلوص luxe holiday set‏ :</strong>
<ul>
 	<li>تتميز هذه المجموعة بلوحة ظلال العيون الجديدة كليًا .</li>
 	<li>مع ملمع الشفاه المستوحى من Blissful Highlighter .</li>
 	<li>احمر شفاه مات ثابت طويل الأمد .</li>
 	<li>لأطلاله رائعة تناسب جمالك .</li>
</ul>","Simple Product","201.00","174.50","المكياج|المكياج>الإضاءه|المكياج>الادوات وفرش التجميل>اوفرا|المكياج>الشفاه","https://meralll.com/wp-content/uploads/2021/04/احسن.jpg","https://meralll.com/wp-content/uploads/2021/04/احسن-150x150.jpg","","احسن","","","","","","","","","","","","","","اوفرا – طقم اوفرا خماسي + روج وقلوص luxe holiday set‏تتميز هذه المجموعة بلوحة ظلال العيون الجديدة كليًامع ملمع الشفاه المستوحى من",""
"انجلوت – كحل جل أي إم سي ( 77 )","<strong>انجلوت – كحل جل أي إم سي ( 77 ) :</strong>
<ul>
 	<li>كحل جل من انجلوت ، يتميز بتركيبة كريمية غنية ومشبعة باللون الأسود الفاحم .</li>
 	<li>تركيبته مقاومة للماء ليدوم طويلاً ويحافظ على جمال إطلالتك لأطول وقت.</li>
 	<li>اختيار مثالي لمظهر عيون جذابة.</li>
</ul>","Simple Product","112.00","74.35","المكياج|المكياج>العيون|المكياج>العيون>انجلوت|المكياج>العيون>محددات العيون","https://meralll.com/wp-content/uploads/2021/04/ggg.png","https://meralll.com/wp-content/uploads/2021/04/ggg-150x150.png","","ggg","","","","https://meralll.com/wp-content/uploads/2021/04/hhh.png|https://meralll.com/wp-content/uploads/2021/04/jjj.png","","https://meralll.com/wp-content/uploads/2021/04/hhh-150x150.png|https://meralll.com/wp-content/uploads/2021/04/jjj-150x150.png","","","","","","","","كحل جل من انجلوت ، يتميز بتركيبة كريمية غنية ومشبعة باللون الأسود الفاحم .تركيبته مقاومة للماء ليدوم طويلاً ويحافظ على جمال إطلالتك","%%title%% %%page%% %%sep%% %%sitename%% كحل جل من انجلوت"
"انجلوت – قطرة ( 9 ML )","<strong>انجلوت – قطرة ( 9 ML ) :</strong>
<ul>
 	<li>قطرة لتثبيت ظلال العيون بمظهر متألق وثابت طوال اليوم.</li>
 	<li>تركيبتها مستخلصه من الهيدروكربون والسيلكون.</li>
 	<li>اختيار مثالي للحصول على مكياج ثابت بألوان زاهية.</li>
</ul>","Simple Product","121.00","105.00","المكياج|المكياج>العيون|المكياج>العيون>انجلوت|المكياج>الوجه","https://meralll.com/wp-content/uploads/2021/04/انجلوت-1.png","https://meralll.com/wp-content/uploads/2021/04/انجلوت-1-150x150.png","","انجلوت-1","","","","https://meralll.com/wp-content/uploads/2021/04/انجلوت-2.jpg","","https://meralll.com/wp-content/uploads/2021/04/انجلوت-2-150x150.jpg","","","","","","","","قطرة لتثبيت ظلال العيون بمظهر متألق وثابت طوال اليوم.تركيبتها مستخلصه من الهيدروكربون والسيلكون.اختيار مثالي للحصول على مكياج ثابت بألوان","%%title%% %%page%% %%sep%% %%sitename%% قطرة لتثبيت ظلال العيون انجلوت"
"صنسيت كافيه – عطر باودر بلو ( او دي برفيوم )","<div class=""woocommerce-product-details__short-description"">

<b>عطر باودر بلو من صنسيت كافيه :</b>
<ul>
 	<li>عطر متميز برائحة زهرية منعشة من الباودر الناعم.</li>
 	<li>يعتبر عطر مبهج مناسب لجميع الأعمار وحتى الأطفال الرضع.</li>
 	<li>يمنحكش انتعاش ورا ئحة رائعه .</li>
 	<li>اختيار مثالي لعطر برائحة فواحة وأنيقه.</li>
</ul>
</div>","Variable","39.00-76.00","39.00-76.00","العطور|العطور>صنسيت كافيه|العناية|العناية>العناية بالجسم","https://meralll.com/wp-content/uploads/2021/04/96089377_Sunset-Cafe-Powder-Blue-Eau-de-Perfum-500x500-1.png","https://meralll.com/wp-content/uploads/2021/04/96089377_Sunset-Cafe-Powder-Blue-Eau-de-Perfum-500x500-1-150x150.png","","96089377_Sunset-Cafe-Powder-Blue-Eau-de-Perfum-500&#215;500-1","","","","","","","","","","","","","","عطر باودر بلو من صنسيت كافيه :عطر متميز برائحة زهرية منعشة من الباودر الناعم.يعتبر عطر مبهج مناسب لجميع الأعمار وحتى الأطفال الرضع.","%%title%% %%page%% %%sep%% %%sitename%% عطر باودر بلو من صنسيت كافيه"
"عطر تشيري بومب من صنسيت كافيه كرز - او دي برفيوم 100ml","<strong>عطر تشيري بومب من صنسيت كافيه كرز - او دي برفيوم 100ml :</strong>
<ul>
 	<li>العطر المفعم بالحيوية لاكثر شبابا ونشاطا .</li>
 	<li>عطر مركز وثابت لفترة طويلة .</li>
</ul>","Simple Product","69.00","","العطور|صنسيت كافييه","https://meralll.com/wp-content/uploads/2021/04/PwWD5t8Kg11QKfvBsIN1NmJCifqQN95EBEzQ3i4c.jpg","https://meralll.com/wp-content/uploads/2021/04/PwWD5t8Kg11QKfvBsIN1NmJCifqQN95EBEzQ3i4c-150x150.jpg","","PwWD5t8Kg11QKfvBsIN1NmJCifqQN95EBEzQ3i4c","","","","","","","","","","","","","","عطر تشيري بومب من صنسيت كافيه كرز - او دي برفيوم 100ml :العطر المفعم بالحيوية لاكثر شبابا ونشاطا .عطر مركز وثابت لفترة طويلة .",""
